"operadora","contrato","campo","formacion_productora","modalidad","vigencia","mes","tipo_prueba","fecha_inicio","fecha_fin","tipo_fluido","petroleo_bbl","gas_ksc","estado"
"SierraCol Energy Arauca","Rondon","Caricare","No Reporta","No Reporta","2025","8","Iniciales","2024-12-21T00:00:00.000","2025-01-24T00:00:00.000","Petróleo y gas","283.36","8.78","Activo"
"Suelopetrol","Llanos 61","Barque4","No Reporta","No Reporta","2025","8","Iniciales","2024-06-16T00:00:00.000","2024-06-23T00:00:00.000","Petróleo","29.71","0.00","Inactivo"
"Suelopetrol","Llanos 61","Progre3","No Reporta","No Reporta","2025","8","Iniciales","2024-03-27T00:00:00.000","2024-04-09T00:00:00.000","Petróleo","20.14","0.00","Activo"
"Tecpetrol Colombia S.A.","CPO 13","Maute","No Reporta","No Reporta","2025","8","Iniciales","2024-07-27T00:00:00.000","2024-11-26T00:00:00.000","Petróleo","209.73","0.00","Inactivo"
"Vetra Exploracion y Produccion Colombia","LLA 78","Espiguero","No Reporta","No Reporta","2025","8","Iniciales","2025-02-04T00:00:00.000","2025-03-26T00:00:00.000","Petróleo","43.43","0.00","Inactivo"
"Canacol Energy Colombia","VIM 21","Aguas Vivas","Cienaga de Oro","Explotación","2025","8","Extensas","2024-07-08T00:00:00.000","2025-01-04T00:00:00.000","Gas","2091.00","0.00","Activo"
"Canacol Energy Colombia","VIM 21","Aguas Vivas","Cienaga de Oro","Explotación","2025","8","Extensas","2024-07-08T00:00:00.000","2025-01-04T00:00:00.000","Gas","0.00","0.00","Inactivo"
"Canacol Energy Colombia","VIM 21","Cornamusa","Cienaga de Oro","Explotación","2025","8","Extensas","2024-08-23T00:00:00.000","2025-02-22T00:00:00.000","Gas","0.00","0.00","Inactivo"
"Canacol Energy Colombia","VIM 21","Fresa","Cienaga de Oro","Explotación","2025","8","Extensas","2024-02-16T00:00:00.000","2024-07-10T00:00:00.000","Gas","63.29","0.00","Inactivo"
"Canacol Energy Colombia","VIM 21","Lulo","Cienaga de Oro","Explotación","2025","8","Extensas","2024-06-01T00:00:00.000","2024-11-30T00:00:00.000","Gas","217.00","0.00","Inactivo"
"Clean Energy Resources","SN 9","Magico","Cienaga de Oro","Evaluación","2025","8","Extensas","2025-03-13T00:00:00.000","2025-09-13T00:00:00.000","Gas","20197.00","7.44","Activo"
"CNEOG Sucursal Colombia","VIM 5","Saxofon","Cienaga de Oro / Porquero","Explotación","2025","8","Extensas","2024-04-13T00:00:00.000","2024-10-10T00:00:00.000","Gas","0.00","0.00","Inactivo"
"CNEOG Sucursal Colombia","VIM 44","Zamia","Cienaga de Oro","Evaluación","2025","8","Extensas","2025-08-19T00:00:00.000","2026-02-18T00:00:00.000","Gas","0.00","0.00","Activo"
